,Código da IES,Nome da IES,Categoria Administrativa,Código da Área,Área de Avaliação,Código do Município,Município do Curso,Nº de Concluintes Inscritos,Nº de Concluintes Participantes,Conceito Enade (Contínuo),CPC (Contínuo),CPC (Faixa),Ano
28,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,1,ADMINISTRAÇÃO,280301106701,SAO CRISTOVAO,122.0,99.0,3.6197896003723145,3.312016487121582,4,2009
29,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,2,DIREITO,280301106701,SAO CRISTOVAO,97.0,122.0,1.0158066749572754,1.4991728067398071,2,2009
30,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,8,COMUNICAÇÃO SOCIAL,280301106701,SAO CRISTOVAO,35.0,17.0,2.619546413421631,2.5891129970550537,3,2009
32,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,8,COMUNICAÇÃO SOCIAL,280301106701,SAO CRISTOVAO,6.0,14.0,0.9913854598999023,1.4247479438781738,2,2009
33,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,280301106701,SAO CRISTOVAO,103.0,92.0,1.7957136631011963,1.9487407207489014,3,2009
34,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,18,PSICOLOGIA,280301106701,SAO CRISTOVAO,33.0,34.0,3.0063681602478027,3.069383382797241,4,2009
36,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,280301106701,SAO CRISTOVAO,57.0,76.0,1.993710994720459,1.906785488128662,2,2009
43,3,UNIVERSIDADE FEDERAL DE SERGIPE,PÚBLICA,82,ESTATÍSTICA,280301106701,SAO CRISTOVAO,50.0,10.0,0.6801890134811401,1.0755362510681152,2,2009
47,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,1,ADMINISTRAÇÃO,130300702603,MANAUS,153.0,171.0,3.35880708694458,2.310544729232788,3,2009
51,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,2,DIREITO,130300702603,MANAUS,67.0,93.0,4.124368190765381,2.719202756881714,3,2009
53,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,8,COMUNICAÇÃO SOCIAL,130300702603,MANAUS,3.0,27.0,3.761712074279785,2.8146960735321045,3,2009
54,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,8,COMUNICAÇÃO SOCIAL,130300702603,MANAUS,22.0,26.0,3.3345649242401123,2.206108570098877,3,2009
55,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,130300702603,MANAUS,103.0,68.0,2.322500705718994,1.9006316661834717,2,2009
56,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,18,PSICOLOGIA,130300702603,MANAUS,40.0,60.0,3.0376055240631104,2.351393699645996,3,2009
57,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,130300702603,MANAUS,62.0,77.0,3.1780388355255127,2.657407522201538,3,2009
58,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,26,DESIGN,130300702603,MANAUS,46.0,29.0,3.107301950454712,2.2227141857147217,3,2009
59,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,43,MÚSICA,130300702603,MANAUS,17.0,11.0,1.1343624591827393,1.447028398513794,2,2009
61,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,66,BIBLIOTECONOMIA,130300702603,MANAUS,65.0,50.0,1.1240769624710083,1.3052254915237427,2,2009
62,4,UNIVERSIDADE FEDERAL DO AMAZONAS,PÚBLICA,82,ESTATÍSTICA,130300702603,MANAUS,30.0,14.0,2.0079853534698486,1.8825161457061768,2,2009
63,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,1,ADMINISTRAÇÃO,220100207702,PARNAIBA,57.0,26.0,3.00394344329834,2.5626726150512695,3,2009
64,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,1,ADMINISTRAÇÃO,220200311001,TERESINA,596.0,40.0,3.660111665725708,3.1853747367858887,4,2009
67,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,2,DIREITO,220200311001,TERESINA,195.0,103.0,4.279903411865234,3.175948143005371,4,2009
68,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,8,COMUNICAÇÃO SOCIAL,220200311001,TERESINA,43.0,20.0,3.235792636871338,2.7166943550109863,3,2009
69,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,220100207702,PARNAIBA,48.0,16.0,1.4957239627838135,1.5519227981567383,2,2009
70,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,220200311001,TERESINA,72.0,58.0,2.137098550796509,2.2032132148742676,3,2009
72,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,220100207702,PARNAIBA,56.0,34.0,2.9160618782043457,2.5819554328918457,3,2009
73,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,220200311001,TERESINA,92.0,32.0,3.535216808319092,2.899501323699951,3,2009
75,5,UNIVERSIDADE FEDERAL DO PIAUÍ,PÚBLICA,43,MÚSICA,220200311001,TERESINA,40.0,12.0,1.2675331830978394,1.8806880712509155,2,2009
79,6,UNIVERSIDADE FEDERAL DE OURO PRETO,PÚBLICA,2,DIREITO,310703346107,OURO PRETO,89.0,50.0,3.914714813232422,3.4606499671936035,4,2009
81,6,UNIVERSIDADE FEDERAL DE OURO PRETO,PÚBLICA,29,TURISMO,310703346107,OURO PRETO,49.0,30.0,3.6095638275146484,3.440415859222412,4,2009
82,6,UNIVERSIDADE FEDERAL DE OURO PRETO,PÚBLICA,39,TEATRO,310703346107,OURO PRETO,26.0,16.0,3.2514233589172363,2.9219064712524414,3,2009
83,6,UNIVERSIDADE FEDERAL DE OURO PRETO,PÚBLICA,43,MÚSICA,310703346107,OURO PRETO,17.0,25.0,2.170921802520752,2.7017903327941895,3,2009
88,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,PÚBLICA,18,PSICOLOGIA,350502548906,SAO CARLOS,43.0,84.0,4.414007186889648,4.127224922180176,5,2009
89,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,PÚBLICA,29,TURISMO,351204652205,SOROCABA,39.0,24.0,4.937014102935791,4.368714809417725,5,2009
90,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,PÚBLICA,43,MÚSICA,350502548906,SAO CARLOS,102.0,22.0,3.2878761291503906,3.5729103088378906,4,2009
91,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,PÚBLICA,66,BIBLIOTECONOMIA,350502548906,SAO CARLOS,48.0,78.0,2.9403722286224365,3.30771541595459,4,2009
92,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,PÚBLICA,82,ESTATÍSTICA,350502548906,SAO CARLOS,32.0,31.0,2.1332051753997803,2.953159809112549,4,2009
94,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,1,ADMINISTRAÇÃO,311206271303,VICOSA,87.0,54.0,4.360952854156494,4.026681900024414,5,2009
95,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,2,DIREITO,311206271303,VICOSA,63.0,62.0,3.8000926971435547,3.6154677867889404,4,2009
96,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,8,COMUNICAÇÃO SOCIAL,311206271303,VICOSA,35.0,34.0,4.851336479187012,4.170587539672852,5,2009
97,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,311206271303,VICOSA,58.0,24.0,4.78210973739624,4.314921855926514,5,2009
98,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,311206271303,VICOSA,30.0,27.0,4.244592666625977,4.0603485107421875,5,2009
99,8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,PÚBLICA,67,SECRETARIADO EXECUTIVO,311206271303,VICOSA,26.0,24.0,4.999856472015381,4.371309757232666,5,2009
100,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,1,ADMINISTRAÇÃO,410301113700,LONDRINA,141.0,158.0,4.016162872314453,3.532223701477051,4,2009
101,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,2,DIREITO,410301113700,LONDRINA,221.0,218.0,4.302299499511719,3.437811851501465,4,2009
102,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,8,COMUNICAÇÃO SOCIAL,410301113700,LONDRINA,37.0,37.0,4.073619842529297,3.2291789054870605,4,2009
103,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,8,COMUNICAÇÃO SOCIAL,410301113700,LONDRINA,42.0,33.0,3.548231840133667,3.0779292583465576,4,2009
104,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,410301113700,LONDRINA,115.0,136.0,3.04793381690979,3.290050506591797,4,2009
105,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,18,PSICOLOGIA,410301113700,LONDRINA,71.0,154.0,3.7982845306396484,3.239893674850464,4,2009
106,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,410301113700,LONDRINA,130.0,114.0,4.146058082580566,3.505385637283325,4,2009
107,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,26,DESIGN,410301113700,LONDRINA,48.0,66.0,4.211560249328613,3.137411594390869,4,2009
108,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,39,TEATRO,410301113700,LONDRINA,34.0,33.0,3.3529000282287598,3.306142568588257,4,2009
109,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,43,MÚSICA,410301113700,LONDRINA,18.0,12.0,3.268150806427002,2.856091022491455,3,2009
110,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,65,ARQUIVOLOGIA,410301113700,LONDRINA,21.0,31.0,3.9200987815856934,3.3548667430877686,4,2009
111,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,66,BIBLIOTECONOMIA,410301113700,LONDRINA,25.0,35.0,2.198697090148926,2.72853946685791,3,2009
112,9,UNIVERSIDADE ESTADUAL DE LONDRINA,PÚBLICA,67,SECRETARIADO EXECUTIVO,410301113700,LONDRINA,34.0,28.0,2.9626049995422363,2.7112603187561035,3,2009
113,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,1,ADMINISTRAÇÃO,410300915200,MARINGA,70.0,78.0,2.09067964553833,2.2433698177337646,3,2009
114,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,1,ADMINISTRAÇÃO,410301113700,LONDRINA,87.0,76.0,3.4275388717651367,3.1718056201934814,4,2009
115,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,1,ADMINISTRAÇÃO,410602227700,TOLEDO,47.0,30.0,2.4758799076080322,2.075775623321533,3,2009
116,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,1,ADMINISTRAÇÃO,411003706902,CURITIBA,217.0,149.0,2.8766818046569824,3.0713002681732178,4,2009
117,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,1,ADMINISTRAÇÃO,411003725506,SAO JOSE DOS PINHAIS,70.0,38.0,2.8638100624084473,2.943098306655884,3,2009
118,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,2,DIREITO,410300915200,MARINGA,120.0,116.0,2.3190722465515137,2.1600377559661865,3,2009
119,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,2,DIREITO,410301113700,LONDRINA,162.0,100.0,3.7375941276550293,3.27982234954834,4,2009
120,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,2,DIREITO,411003706902,CURITIBA,185.0,226.0,3.2716569900512695,3.320767641067505,4,2009
121,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,2,DIREITO,411003725506,SAO JOSE DOS PINHAIS,113.0,97.0,2.5628175735473633,2.38732647895813,3,2009
122,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,8,COMUNICAÇÃO SOCIAL,411003706902,CURITIBA,57.0,29.0,3.285238265991211,2.574723243713379,3,2009
123,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,8,COMUNICAÇÃO SOCIAL,411003706902,CURITIBA,65.0,31.0,3.6811652183532715,3.160322666168213,4,2009
124,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,8,COMUNICAÇÃO SOCIAL,411003706902,CURITIBA,21.0,12.0,2.9187421798706055,2.2151684761047363,3,2009
125,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,13,CIÊNCIAS ECONÔMICAS,411003706902,CURITIBA,38.0,13.0,1.6835782527923584,1.6477761268615723,2,2009
127,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,18,PSICOLOGIA,411003706902,CURITIBA,90.0,83.0,2.433739185333252,2.59002685546875,3,2009
128,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,22,CIÊNCIAS CONTÁBEIS,410301113700,LONDRINA,48.0,18.0,3.5995852947235107,3.1438422203063965,4,2009
129,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,22,CIÊNCIAS CONTÁBEIS,411003706902,CURITIBA,80.0,47.0,2.832929849624634,2.5557384490966797,3,2009
130,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,22,CIÊNCIAS CONTÁBEIS,411003725506,SAO JOSE DOS PINHAIS,35.0,38.0,2.6102452278137207,2.2343454360961914,3,2009
131,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,26,DESIGN,411003706902,CURITIBA,116.0,129.0,3.203322410583496,2.7534899711608887,3,2009
133,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,29,TURISMO,411003706902,CURITIBA,24.0,19.0,3.07352352142334,2.3596184253692627,3,2009
134,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PRIVADA,67,SECRETARIADO EXECUTIVO,411003706902,CURITIBA,31.0,33.0,3.4172091484069824,3.0582849979400635,4,2009
136,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,1,ADMINISTRAÇÃO,260501711606,RECIFE,162.0,156.0,1.7024589776992798,1.8046094179153442,2,2009
137,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,2,DIREITO,260501711606,RECIFE,622.0,475.0,2.3910300731658936,2.249380588531494,3,2009
138,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,8,COMUNICAÇÃO SOCIAL,260501711606,RECIFE,49.0,107.0,3.0800769329071045,2.400055408477783,3,2009
139,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,8,COMUNICAÇÃO SOCIAL,260501711606,RECIFE,57.0,67.0,2.9752891063690186,2.6329092979431152,3,2009
141,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,13,CIÊNCIAS ECONÔMICAS,260501711606,RECIFE,13.0,25.0,2.0207700729370117,2.1685950756073,3,2009
142,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,18,PSICOLOGIA,260501711606,RECIFE,37.0,99.0,2.012977123260498,2.3429627418518066,3,2009
143,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,PRIVADA,22,CIÊNCIAS CONTÁBEIS,260501711606,RECIFE,37.0,76.0,2.105973482131958,2.0162107944488525,3,2009
144,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,PÚBLICA,1,ADMINISTRAÇÃO,430703515602,RIO GRANDE,32.0,37.0,4.350785255432129,3.6585745811462402,4,2009
145,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,PÚBLICA,2,DIREITO,430703515602,RIO GRANDE,170.0,148.0,3.725013017654419,3.3156239986419678,4,2009
146,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,PÚBLICA,13,CIÊNCIAS ECONÔMICAS,430703515602,RIO GRANDE,34.0,37.0,2.481405735015869,2.278970956802368,3,2009
148,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,PÚBLICA,22,CIÊNCIAS CONTÁBEIS,430703515602,RIO GRANDE,64.0,44.0,4.350996494293213,3.2377915382385254,4,2009
150,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,PÚBLICA,66,BIBLIOTECONOMIA,430703515602,RIO GRANDE,39.0,27.0,2.1756649017333984,2.316615104675293,3,2009
151,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201409407,GUAPORE,48.0,17.0,3.30743670463562,3.034278631210327,4,2009
152,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201413300,NOVA PRATA,54.0,54.0,2.555468797683716,2.548866033554077,3,2009
153,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201522509,VACARIA,48.0,34.0,2.851966381072998,3.2307467460632324,4,2009
154,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201602105,BENTO GONCALVES,212.0,127.0,2.8187825679779053,3.119468927383423,4,2009
155,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201605108,CAXIAS DO SUL,673.0,435.0,3.02990984916687,3.001004219055176,4,2009
156,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430201607906,FARROUPILHA,75.0,41.0,2.1256489753723145,2.000889301300049,3,2009
157,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430502319505,SAO SEBASTIAO DO CAI,125.0,66.0,3.0427308082580566,2.772480010986328,3,2009
158,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,1,ADMINISTRAÇÃO,430502404408,CANELA,96.0,56.0,2.821791648864746,2.956144332885742,4,2009
159,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430201409407,GUAPORE,26.0,46.0,1.2537763118743896,1.4894920587539673,2,2009
160,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430201522509,VACARIA,38.0,44.0,2.6616740226745605,2.5656559467315674,3,2009
161,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430201602105,BENTO GONCALVES,129.0,99.0,2.02018404006958,2.487865686416626,3,2009
162,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430201605108,CAXIAS DO SUL,325.0,294.0,2.614612102508545,2.837801456451416,3,2009
163,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430201607906,FARROUPILHA,31.0,22.0,2.2188849449157715,2.224486827850342,3,2009
165,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,2,DIREITO,430502404408,CANELA,55.0,55.0,2.6788244247436523,2.5193698406219482,3,2009
166,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,8,COMUNICAÇÃO SOCIAL,430201605108,CAXIAS DO SUL,44.0,28.0,4.194427013397217,3.3671321868896484,4,2009
167,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,8,COMUNICAÇÃO SOCIAL,430201605108,CAXIAS DO SUL,52.0,66.0,3.217196464538574,2.9944305419921875,4,2009
168,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,8,COMUNICAÇÃO SOCIAL,430201605108,CAXIAS DO SUL,72.0,83.0,3.2360146045684814,2.7143380641937256,3,2009
169,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,13,CIÊNCIAS ECONÔMICAS,430201602105,BENTO GONCALVES,4.0,31.0,1.9306541681289673,2.1687285900115967,3,2009
170,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,13,CIÊNCIAS ECONÔMICAS,430201605108,CAXIAS DO SUL,91.0,78.0,2.0465643405914307,2.283287286758423,3,2009
171,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,18,PSICOLOGIA,430201605108,CAXIAS DO SUL,117.0,115.0,2.851515531539917,2.7516088485717773,3,2009
172,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201413300,NOVA PRATA,44.0,29.0,2.5969412326812744,2.7876858711242676,3,2009
173,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201522509,VACARIA,25.0,32.0,2.4396822452545166,2.499878406524658,3,2009
174,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201602105,BENTO GONCALVES,80.0,81.0,3.058605670928955,3.025136709213257,4,2009
175,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201605108,CAXIAS DO SUL,151.0,171.0,2.79655122756958,2.900033473968506,3,2009
176,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,22,CIÊNCIAS CONTÁBEIS,430201607906,FARROUPILHA,24.0,33.0,2.8689308166503906,2.3913629055023193,3,2009
178,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,26,DESIGN,430201602105,BENTO GONCALVES,109.0,66.0,3.085874319076538,2.268381357192993,3,2009
179,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,26,DESIGN,430201605108,CAXIAS DO SUL,16.0,5.0,2.295971393585205,2.6342809200286865,3,2009
180,13,UNIVERSIDADE DE CAXIAS DO SUL,PRIVADA,29,TURISMO,430201602105,BENTO GONCALVES,11.0,44.0,2.6487555503845215,2.9014670848846436,3,2009
